pressure,bTemp,humidity,hTemp,aveTemp,lightLvl,milliseconds
98315.63,28.98,16,25,26.99,1023,15989
98315.63,28.98,16,25,26.99,1023,16065
98315.63,28.98,16,25,26.99,1023,16141
98314.83,28.97,16,25,26.98,1023,16217
98314.83,28.97,16,25,26.98,1023,16291
98314.83,28.97,16,25,26.98,1023,16367
98314.83,28.97,16,25,26.98,1023,16442
98314.83,28.97,16,25,26.98,1023,16518
98314.83,28.97,16,25,26.98,1023,16593
98314.83,28.97,16,25,26.98,1023,16668
98314.83,28.97,16,25,26.98,1023,16749
98314.83,28.97,16,25,26.98,1023,16825
98314.83,28.97,16,25,26.98,1023,16900
98314.83,28.97,16,25,26.98,1023,17246
98311.73,28.97,16,25,26.98,1023,17321
98311.73,28.97,16,25,26.98,1023,17397
98311.73,28.97,16,25,26.98,1023,17472
98311.73,28.97,16,25,26.98,1023,17548
98311.73,28.97,16,25,26.98,1023,17623
98311.73,28.97,16,25,26.98,1023,17702
98311.73,28.97,16,25,26.98,1023,17779
98311.73,28.97,16,25,26.98,1023,17854
98311.73,28.97,16,25,26.98,1023,17930
98311.73,28.97,16,25,26.98,1023,18024
98317.55,28.97,16,25,26.98,1023,18100
98317.55,28.97,16,25,26.98,1023,18174
98317.55,28.97,16,25,26.98,1023,18250
98317.55,28.97,16,25,26.98,1023,18325
98317.55,28.97,16,25,26.98,1023,18401
98317.55,28.97,16,25,26.98,1023,18481
98317.55,28.97,16,25,26.98,1023,18557
98317.55,28.97,16,25,26.98,1023,18632
98317.55,28.97,16,25,26.98,1023,18708
98317.55,28.97,16,25,26.98,1023,18784
98317.55,28.97,16,25,26.98,1023,18860
98317.55,28.97,16,25,26.98,1023,18934
98314.44,28.97,16,25,26.98,1023,19281
98314.44,28.97,16,25,26.98,1023,19356
98314.44,28.97,16,25,26.98,1023,19432
98314.44,28.97,16,25,26.98,1023,19512
98314.44,28.97,16,25,26.98,1023,19589
98314.44,28.97,16,25,26.98,1023,19663
98314.44,28.97,16,25,26.98,1023,19739
98314.44,28.97,16,25,26.98,1023,19814
98314.44,28.97,16,25,26.98,1023,19890
98317.55,28.97,16,25,26.98,1023,19964
98317.55,28.97,16,25,26.98,1023,20040
98317.55,28.97,16,25,26.98,1023,20116
98317.55,28.97,16,25,26.98,1023,20191
98317.55,28.97,16,25,26.98,1023,20271
98317.55,28.97,16,25,26.98,1023,20347
98317.55,28.97,16,25,26.98,1023,20422
98317.55,28.97,16,25,26.98,1023,20498
98317.55,28.97,16,25,26.98,1023,20573
98317.55,28.97,16,25,26.98,1023,20648
98317.55,28.97,16,25,26.98,1023,20723
98317.55,28.97,16,25,26.98,1023,20799
98312.52,28.98,16,25,26.99,1023,20875
98312.52,28.98,16,25,26.99,1023,20950
98312.52,28.98,16,25,26.99,1023,21311
98312.52,28.98,16,25,26.99,1023,21387
98312.52,28.98,16,25,26.99,1023,21463
98312.52,28.98,16,25,26.99,1023,21538
98312.52,28.98,16,25,26.99,1023,21613
98312.52,28.98,16,25,26.99,1023,21689
98312.52,28.98,16,25,26.99,1023,21765
98318.7,28.98,16,25,26.99,1023,21839
98318.7,28.98,16,25,26.99,1023,21915
98318.7,28.98,16,25,26.99,1023,21990
98318.7,28.98,16,25,26.99,1023,22071
98318.7,28.98,16,25,26.99,1023,22147
98318.7,28.98,16,25,26.99,1023,22222
98318.7,28.98,16,25,26.99,1023,22298
98318.7,28.98,16,25,26.99,1023,22373
98318.7,28.98,16,25,26.99,1023,22449
98318.7,28.98,16,25,26.99,1023,22524
98318.7,28.98,16,25,26.99,1023,22599
98318.7,28.98,16,25,26.99,1023,22675
98315.99,28.98,16,25,26.99,1023,22755
98315.99,28.98,16,25,26.99,1023,22832
98315.99,28.98,16,25,26.99,1023,22906
98315.99,28.98,16,25,26.99,1023,22982
98315.99,28.98,19,24,26.49,1023,23329
98315.99,28.98,19,24,26.49,1023,23404
98315.99,28.98,19,24,26.49,1023,23480
98315.99,28.98,19,24,26.49,1023,23555
98315.99,28.98,19,24,26.49,1023,23630
98317.34,28.98,19,24,26.49,1023,23705
98317.34,28.98,19,24,26.49,1023,23785
98317.34,28.98,19,24,26.49,1023,23862
98317.34,28.98,19,24,26.49,1023,23938
98317.34,28.98,19,24,26.49,1023,24012
98317.34,28.98,19,24,26.49,1023,24088
98317.34,28.98,19,24,26.49,1023,24163
98317.34,28.98,19,24,26.49,1023,24239
98317.34,28.98,19,24,26.49,1023,24313
